Card 1,Card 2,Card 3,Card 4,Card 5,Hand Type
4c,2c,2s,Jh,Kc,1
2c,Kh,Tc,5h,Ad,4
Ah,3c,4d,6c,3h,1
Qc,6h,2s,8s,3d,0
6h,Tc,7c,9h,Kc,0
3h,Jd,4h,Th,8s,0
6h,5d,Qd,Tc,Qs,1
7d,9s,8d,Ac,8s,1
2d,5s,Jh,2s,6s,1
8s,Ah,Jh,Ad,Ks,1
8h,5c,Ts,Qs,2d,0
As,Kc,3d,6c,8s,0
Ac,Ts,Ah,Kd,7c,1
9d,2h,Th,Tc,7s,1
3d,Kc,8c,4h,3c,1
9d,Ts,Ks,7d,5c,0
8h,Td,7h,9h,6c,0
2d,Ks,3s,Qd,Qs,1
Ts,Jc,2s,7s,9h,0
5s,6s,7h,As,3c,0
Ac,7c,6c,3d,5s,0
3s,Ks,Ah,9d,9s,1
7s,6d,4h,Ac,Th,0
3s,6d,Tc,4h,Qh,0
5c,4h,2d,Jc,4d,1
8s,3h,5s,Qh,Ts,0
7d,Ad,Td,Tc,9d,1
6c,8h,Jd,9d,Kd,0
3h,8c,Ac,3c,6h,1
3c,As,Qd,Jd,Ts,0
Js,5s,Kc,Td,7d,0
Ah,9c,Ks,Ac,3c,1
8d,8s,Qd,Kh,Kc,2
2c,Th,Td,Qc,Ks,1
3d,Jc,9c,2s,Ad,0
8c,3s,3d,5s,9c,1
Td,6s,Ah,As,2h,1
Kh,Jc,Jd,Ac,4h,1
4d,Qh,Ts,9h,Qd,1
2d,7d,Qs,Jh,2h,1
3h,Th,3c,9s,7s,1
6d,Tc,6h,Kh,5c,1
Jc,Kd,Jd,9s,Ac,1
Qs,4h,Ks,3d,Qd,1
2s,6d,8s,Qh,6s,1
Qh,4d,7c,6h,9d,0
Td,9c,3c,Qh,6h,0
Kc,As,7s,Qh,Ad,1
2d,Ac,Ad,Tc,3d,1
5h,Jd,Js,7c,Jc,3
Th,4h,6s,5d,Ad,4
2d,Jc,As,4s,6s,4
6c,9h,3c,Tc,Ks,0
6d,As,Jc,Ts,7h,0
7s,3s,7h,Kh,Jh,1
5s,3d,Qc,9h,3s,1
2s,Qh,2d,Js,3s,1
8c,6d,Th,Ks,Jh,0
3d,4d,9d,8c,3h,1
Tc,4h,5h,2h,8c,0
5c,Th,Kc,5d,4c,1
2d,5c,Tc,5s,9h,1
3c,Jc,Th,Js,Ks,1
4s,7c,As,Tc,4c,1
4s,8c,5c,Tc,Ks,0
Jc,3s,Kd,Ah,6h,0
9c,Qs,7s,4d,2c,0
7s,2d,Qs,4s,4d,1
2c,Th,5c,Ks,6h,4
5c,2s,6c,Kh,Jc,0
4s,8c,7d,6c,9h,0
Kd,9h,3h,6s,7c,0
9c,Ts,Kh,4h,Kc,1
5h,9c,9h,Kc,Td,1
4d,2d,Jc,2h,5c,1
Jh,7c,3h,4h,Qh,0
3s,4s,Ad,9c,7s,4
Kc,Qh,Ac,5s,2d,0
9d,Jd,6s,Td,7c,0
7c,Tc,7d,Js,6h,1
3c,Th,Qd,8s,5c,0
Td,Kd,Ah,9d,5d,0
5s,Ah,2d,3s,8c,0
4c,Js,Qc,2s,3s,0
Jh,3c,2d,Qs,6h,0
8h,2c,9h,Ks,9d,1
Jh,3c,2c,5h,8h,0
Jd,2h,6s,6h,Ks,1
4d,7s,2h,3d,6d,0
Kc,Ac,Qd,8d,2d,0
Kh,Ts,3s,5d,9s,0
Jd,9c,8s,Jh,7d,1
3d,8h,7c,Ad,9c,0
3c,9d,Td,2c,Ks,0
Ad,8d,8s,Ac,Th,2
8s,9s,Ts,9d,9h,3
Kd,Th,Jc,8c,Ad,0
4c,7h,3c,Td,2c,0
5s,Ah,9c,7h,5h,1
8s,5c,Kh,9s,Ac,0
Ad,7d,7s,Js,9c,1
4d,3c,Ts,6h,5c,0
Qd,4h,2h,Td,Ts,1
8h,6h,7c,5s,3d,0
Qs,As,3s,Jd,Tc,0
9d,Ah,9s,Kh,Ks,2
2d,Ac,Ah,Ad,9d,3
6s,5h,4d,Qd,6c,1
5d,5s,Th,9d,3s,1
2s,4d,7c,Jh,Tc,0
Ah,8c,7c,Kd,Ad,1
Ah,3s,6d,3c,Ac,2
Ts,5c,6c,9c,6d,1
Kc,Jc,6c,9s,9h,1
Qs,Th,Ks,Jh,As,0
Td,5c,Tc,Ac,7c,1
9h,Ks,Ac,5c,Qd,0
Ad,Jd,5d,7s,Ts,0
5c,Qd,6s,4d,3d,0
6s,Qs,6d,Jd,Th,1
3c,4c,Jd,6h,9h,0
8h,Ks,Qd,Ts,2c,0
5h,Kh,9s,5s,8s,1
8d,Kc,7h,9h,4s,0
2c,7d,Jd,Ts,5s,0
Td,Qd,3s,Js,2c,0
6h,As,Th,3s,Qs,0
Tc,9c,Jh,Ad,Ah,1
9h,9d,7s,Qd,7c,2
4c,2s,Tc,7s,6c,0
5h,5s,3h,As,4d,1
5h,4c,7h,Jc,Tc,0
4c,6s,Js,Jh,7c,1
8s,Td,Qs,Kc,Qd,1
Qs,Js,5h,2h,Qh,1
3d,As,Ac,6c,Td,1
Kc,9c,4s,7c,6h,0
5d,Jc,Th,4c,7c,0
Ah,7h,Qs,4h,Th,0
Qd,Td,Ks,Qc,6d,1
Td,Th,4c,Ts,9d,3
5s,3c,5c,3h,7s,2
2d,Ts,9c,Th,Kc,1
4s,Jc,4d,5d,3s,1
4d,7c,Qd,6s,Js,0
2c,Th,4c,Td,7h,1
Jc,8h,3h,7c,6s,0
Jc,2h,7h,Jh,3s,1
3c,Ah,Jh,4d,9c,0
4c,Js,Kd,7h,5s,0
Kd,4h,7d,7h,Jd,1
7s,7h,6s,9s,3h,1
7h,Ad,8d,9s,Ks,0
Td,7d,Ah,Kd,Kh,1
8h,Ah,Kc,3h,7d,0
9s,6d,Qc,Js,Kd,4
8h,7d,Js,4d,7h,1
Kh,5s,9h,2c,7c,0
Td,Ah,As,Tc,2h,2
3c,4s,Qs,6d,Ad,0
Ks,As,7c,Jc,2d,0
4c,5d,7c,3s,Jc,0
2s,Ks,7h,3c,Ad,0
6s,7c,As,Kc,Kd,1
5h,8d,Jc,5c,Ts,1
Kc,8d,5c,Kd,Jd,1
Jc,8h,9d,7c,Kc,0
Th,4c,7h,Jh,As,4
7s,4c,Js,7c,2d,1
Jh,9s,7s,Ac,3s,0
5s,4h,Qs,6s,4d,1
Tc,5h,7c,As,7s,1
Qd,7d,5d,Qc,3d,1
Qs,4s,As,3c,Kh,0
Jd,2s,Ad,6h,Jh,1
Ad,7h,6d,Qd,Jh,0
6c,2s,Td,Jd,9s,0
3h,9s,2d,8s,5h,0
Ad,5d,As,8h,5h,2
Qc,7s,7h,9c,3h,1
8s,6s,4c,2c,7c,0
Qs,7s,6s,4c,Qc,1
8d,Ad,3c,3d,Jh,1
Tc,5d,Js,2s,Ts,1
9s,Ah,9d,2s,2d,2
5h,Ks,Kh,7c,4d,1
2c,6h,3d,4d,9d,0
6c,Th,Kh,4h,Ac,0
Ac,5d,4s,3h,2d,0
5s,6c,3h,Jh,2s,0
Ad,8h,Qd,5s,4s,0
Td,Qs,5d,9c,2c,0
9s,8h,3s,6c,9c,1
Th,5d,Ks,8c,7h,0
Ac,6h,Kh,4d,Tc,0
Jh,4s,9h,3s,6h,0
9h,3h,Td,3c,Qc,1
Kd,Jd,7d,8s,5h,0
Ah,Ks,Kd,8c,2c,1
3d,6h,7d,9c,Ad,0
3d,7c,3c,9c,8s,1
Ah,Jh,Td,4c,7c,0
6c,Ks,6s,3c,9h,1
7s,4s,8d,8s,Jh,1
9s,Kd,Kh,7h,Ad,1
Kd,9h,3h,Ah,3c,1
6c,7s,9c,3h,4h,0
5s,4s,Ah,7h,8d,0
8d,Ks,Jh,2c,3c,0
9h,Qc,6c,Ks,5h,0
4s,Ac,4h,6h,7s,1
9c,8h,4s,Js,9s,1
2d,3c,Ks,Js,Jd,1
9h,Jc,Kh,6s,3d,0
4s,5s,4c,8d,Th,1
5s,9c,6s,Tc,Ac,0
4s,Qh,Th,2d,Ah,0
3h,8h,Ad,6s,Kd,0
Kh,5d,2c,7s,Qc,0
Ts,4d,2h,Qc,6s,0
5d,5h,6c,9c,Ts,1
8h,Ks,8c,5s,Kc,2
6c,Kh,Qh,3d,9s,0
7h,6s,7d,4s,4d,2
9s,2h,3h,6s,2c,1
Jc,6h,Qs,8s,As,0
9c,7h,Qc,3s,Qd,1
Kd,6h,7s,8s,4d,0
6c,6d,9c,6s,Ad,3
2s,4s,2d,Th,4c,2
Tc,6s,3d,Ah,Ks,0
Tc,8h,7h,Js,8s,1
4s,4c,4h,9d,2c,3
7s,4s,6h,Th,Qd,0
3h,6s,4d,Td,6d,1
8c,3h,3s,Td,Ah,1
Qc,6c,Jd,6d,3c,1
Ad,Qs,Ac,3h,3s,2
Ts,6d,Kd,Qs,4s,0
8h,2s,7d,Th,6s,0
9c,4d,6c,3s,5h,0
As,Ah,3c,6d,Qh,1
6h,9c,8h,Td,2d,0
Js,4s,2d,6h,2h,1
4c,9d,Ts,Kd,Qd,0
7d,Jh,7s,4c,8c,1
2c,5h,Th,8h,As,0
8h,5s,Ac,9d,9c,1
4s,Qs,6d,Js,7d,0
7c,5h,Jc,Ac,7s,1
Ts,Ad,5s,9d,6c,0
2c,Th,Js,8c,Qc,0
6d,6h,Jd,Jh,Kd,2
Qd,Qh,Js,Ts,Td,2
4c,9c,Jh,4s,Th,1
Ah,8c,5c,7d,Qd,0
9s,Ac,Ad,7h,8c,1
5d,2s,Ts,Js,3h,0
Ac,Th,2c,9c,5h,0
4d,Kc,Ts,Kd,5s,1
5s,Jc,Kh,7h,Th,0
Jc,8h,9c,2s,5d,0
3s,Th,Ks,Js,8s,0
Qc,3c,Kc,Qs,2c,1
7h,Tc,Qd,As,9c,0
5d,7h,Kh,As,9h,4
Jc,9d,7c,Ad,4h,0
3h,9s,Th,Kh,7c,4
Kc,6s,4c,Td,Qc,0
3c,9c,Th,4d,6d,0
5s,2c,5h,Jh,Th,1
8h,Ac,Qs,4c,2h,0
5s,8h,4d,Ks,Th,0
Qc,4h,Jc,Jd,Jh,3
2c,3d,7d,As,Jd,0
Qs,9d,Th,Qc,4c,1
Ts,7s,5s,Qc,9h,0
Kd,2c,8c,Ah,9h,0
8h,2s,8d,3c,4s,1
Qh,2s,6h,Ks,7h,0
Ts,3c,Qs,Kh,Qh,1
4h,Ac,2c,Jc,Kc,0
Jc,Qh,Ts,7s,6h,0
Qs,As,3d,8c,Kc,0
5h,6d,5c,6h,4s,2
2s,2d,9c,Ad,3h,1
Ah,9s,4c,3s,6c,0
6s,Kd,As,Kh,4s,1
2s,7s,9c,Th,8c,0
Jh,4h,Qd,6d,Kc,0
7s,3h,6c,8h,5c,0
7s,9s,4s,8c,7h,1
Js,6s,5s,8h,2s,0
2s,6d,7s,Jc,As,0
Tc,Jh,8s,6h,7c,0
6c,3s,2d,8h,4c,0
Th,2h,8d,Ts,2d,2
6c,Kd,6d,7d,9d,1
7c,Kh,Ac,9s,6s,0
3c,Jc,As,3d,Ks,1
Js,Th,Ts,Ks,As,1
Kc,9s,Qd,2s,6d,0
7s,Kh,Ts,4h,3s,0
Kc,Ad,As,5h,Ah,3
3h,8h,Qs,9c,Td,0
2s,6c,6h,Js,2c,2
Jc,4s,Td,Th,Ts,3
2h,Ad,Ac,6c,Th,1
Th,6h,7h,2c,4h,0
7h,8d,5c,4h,9c,0
Kc,4c,5s,Ks,3s,1
2h,Kd,2s,Qd,Qh,2
8c,5s,2d,3s,Qc,4
4s,2h,6s,5h,Kd,0
9s,9d,2s,3h,Kd,1
3d,8c,7d,Ad,Qd,0
As,5c,3c,6c,6h,1
3h,6d,Kc,Qd,Qh,1
Ah,Js,Jh,9h,2h,1
Ac,Qs,2s,3s,8h,0
9c,Ts,7s,Kd,4s,0
Ac,5s,3s,Td,Jc,0
9s,6c,5d,6d,3h,1
6s,Ad,6h,2d,2h,2
9d,Kh,7c,8s,4h,0
Kh,Qc,3d,9s,7h,0
6d,Ad,Jd,8c,8d,1
Jh,4c,6d,7s,5c,0
2c,Tc,Jd,Jh,Qs,1
8h,Jd,8s,As,4c,1
5h,Td,Tc,9c,7s,1
2h,6h,Kc,2c,Jc,1
5s,Jd,Kc,8s,4h,0
3s,Jc,Tc,2h,6d,0
4h,Td,As,Ks,6d,0
Th,4d,Kd,4h,8s,1
Ah,Tc,4d,2s,4h,1
Jd,As,2h,8c,Ad,1
6d,Ks,5d,Ah,Kd,1
6c,Ac,Tc,7s,Th,1
As,7s,Ts,2d,8c,0
Qh,4d,6h,9d,9c,1
8c,Td,3d,2s,8h,1
Ac,4c,7d,3s,Kd,0
7s,Ks,3c,7h,2d,1
2d,Td,4d,8h,Kd,0
9s,Qd,6s,2d,2c,1
As,2s,4s,Jd,3c,0
3d,4s,2h,7h,Jd,0
Kd,6d,9h,2d,Tc,0
Jc,Kc,6s,8s,9s,0
Th,6c,Ad,Kc,4h,0
3c,3d,8c,9d,6d,1
Th,Kd,Qd,Tc,4s,1
Js,3s,2c,Kc,Jd,1
5h,3s,8d,Qc,4s,0
Jd,Ac,8d,Th,4h,0
Ts,2h,9s,5d,Ks,0
2s,4d,7s,Qc,Qh,1
Jh,5h,5d,4s,3s,1
2s,5s,5c,5h,7c,3
Kd,Qd,9c,Ah,8c,0
2s,Qs,2d,3c,Js,1
9h,Qh,Ks,7s,2h,0
Jc,Ah,Kd,6d,3s,0
5d,4s,Jd,Ts,Ac,0
Qc,7c,Th,Ac,Kh,0
5h,Jd,3d,8c,Qs,0
9s,Td,Th,4d,Qc,1
Td,4s,7h,8h,4h,1
Ac,5d,8h,2d,9s,0
2h,8h,8s,Ks,4s,1
Ac,3h,Ad,4h,4c,2
Kh,2s,Jh,Td,Ts,1
4h,Qc,2h,5c,4c,1
7s,2d,9d,4h,3d,0
3d,4s,Ks,Ad,7s,4
Ks,Ad,Jd,7s,Ah,1
4s,Td,Qh,8h,3c,0
As,9s,4s,7h,7c,1
5h,3c,7c,4d,9d,4
9h,3h,As,5s,5c,1
8c,Th,4s,Tc,Ts,3
4h,9d,3h,9s,Qs,1
2c,5h,7h,Jc,3c,0
8s,7s,3h,Qc,Ts,0
9d,2d,6s,Ad,4c,0
Tc,Jh,Qh,As,2c,0
4c,Qs,Jd,3d,2s,0
7s,5h,4s,3c,9d,0
Qs,Tc,6h,8c,8h,1
5c,9c,Ad,Td,Qh,0
9c,5s,4d,Jh,8c,0
Ac,Qc,Qh,Kc,8s,1
3s,3c,6s,6h,7s,2
Qh,Qs,8h,8c,2c,2
Kd,4h,7d,2d,Kc,1
2d,Kd,Jc,6s,3h,0
2d,Tc,9c,4s,Qd,0
Ts,4c,Ac,4s,3s,1
Jc,7s,2h,Js,Qs,1
6h,6d,Td,As,3c,1
Tc,8h,5d,3d,4d,0
Jd,3h,2d,6d,2c,1
Ah,3h,Js,Ac,4c,1
Ac,7d,9d,9h,Ah,2
6c,Qh,5d,6s,8d,1
Th,Jh,5s,Ts,4c,1
4d,Td,8s,7d,5h,0
9d,3d,Tc,4h,Ts,1
Jd,7d,Kc,Tc,3d,0
9h,9d,Ts,Tc,6h,2
6c,Tc,Jh,6s,7d,1
8h,2s,As,5s,6d,0
Tc,Jd,2c,Qs,Ah,4
9s,7d,8h,3s,2s,0
6s,5c,8h,2d,4h,0
2d,7d,Kd,3h,4d,0
6s,Qs,7d,Tc,8c,0
2c,Jd,As,Qc,Ks,0
5c,Td,4h,Qs,3s,0
5h,Ad,6c,Kh,6d,1
2d,8s,4d,Kd,4h,1
2d,Qd,As,7s,5d,0
Qs,2s,5d,4d,2h,1
2d,9c,8h,Jh,3c,0
3c,9s,Js,Jd,2d,1
7h,8h,6s,4h,Jd,4
Jc,Ac,Qh,Kc,3h,0
2h,Js,9s,4h,Kc,0
3d,Ad,Ac,6s,As,3
As,Kh,4c,Ts,Ah,1
Jh,Tc,7s,8s,4d,0
Jc,5d,Ad,5h,4c,1
Jc,9c,7s,6h,Tc,0
7s,Jd,9h,Ad,5d,0
6c,Kh,Ac,3s,Qh,0
8d,Kd,5c,Ah,7c,0
2c,Ah,Kh,4s,6s,4
Qc,Qs,7c,8c,3h,1
Jd,7c,7h,Qh,8h,1
Js,8h,3s,6c,8c,1
8d,Js,Th,9c,Ad,0
Kc,Jd,7c,5s,3d,0
5c,9h,Ah,6c,3d,0
8s,Qh,6s,5d,6d,1
Ah,9h,6d,3s,Qh,0
3c,Th,5c,4s,8c,0
4d,8c,2s,Jc,Ks,0
6h,Td,As,Kd,Qh,0
8d,6c,9c,9d,6s,2
9h,8s,Jd,2c,5c,0
Ac,Kd,2h,As,2s,2
2s,9d,Js,Ks,Kd,1
Kh,6s,Jh,3s,Qs,0
Kh,9d,9h,6h,6d,2
Ts,4s,9d,9c,3d,1
Td,2c,3h,4c,5s,0
6h,Qd,Ks,4c,6d,1
Td,Qs,8d,Js,Qd,1
Jh,2c,Kc,9c,5d,0
4s,Qs,Jc,Jd,2h,1
8s,5s,Jc,Th,6d,0
As,4s,Kh,3h,Qc,0
6s,9s,Th,6c,Qh,1
2s,8s,Kc,7h,7d,1
Th,3d,Qh,2h,6c,0
9h,2c,4d,Ah,7s,0
8s,6s,Kd,4d,8d,1
4d,2h,6s,8c,5s,0
2c,Ah,Td,5d,5s,1
Qc,4d,Tc,8c,3s,0
Qc,7d,Ks,Kh,2h,1
Qd,8d,4c,2d,5d,0
5h,Jh,Qc,8s,Ac,0
7s,6h,Js,7c,As,1
4d,Ks,Js,Tc,9h,0
Kh,9h,Tc,3c,2h,0
Jd,Qs,6d,9s,9d,1
3h,7c,8h,Kc,Qd,0
7d,Jh,4s,7s,Jd,2
4d,5h,Qs,5c,2c,1
3c,Jc,9d,As,Ac,1
Kd,9s,7s,Kh,5s,1
4s,Kc,5s,4d,4c,3
Qd,Ac,5d,Kh,8s,0
8h,Kc,6h,7s,Jh,0
4s,Jh,Kc,Ts,Jd,1
Kc,Qh,Qs,Ah,6d,1
2s,8h,Ks,Ts,9d,0
As,Qh,3s,Td,3h,1
Ac,4d,8s,Jc,Ts,0
Kc,Tc,Td,5c,Ad,1
Qd,2d,Ks,Jh,9d,0
Jd,Jh,8d,9c,Kc,1
Td,4h,6d,5c,3c,0
Kh,Jc,Qd,Kd,9h,1
6d,9d,6h,7c,2c,1
4c,Jc,3h,5h,Ks,0
2d,9c,4s,7c,8c,0
Tc,3c,Kc,4h,5d,0
2d,6s,Qs,8s,9s,0
Ah,6h,Js,3h,Qh,0
6c,2s,5s,9s,9d,1
7h,2c,Tc,6s,Qd,0
2d,Qs,5d,6s,4s,0
2s,9d,Qs,4c,8h,0
4s,2h,9d,6h,Jd,0
3d,9d,6h,3c,4d,1
Qs,3d,Td,Kd,8s,0
Ad,Jd,9c,7s,4d,0
Jc,4s,9h,9s,2c,1
4h,9c,6d,Ac,5h,0
Ad,7d,7s,6c,7h,3
Td,4h,Th,Ks,Js,1
6h,Kh,Ah,8h,Qc,0
2h,Jc,5h,4c,Qd,0
Js,6h,6c,8c,Qs,1
Jc,9d,7d,3d,Th,0
7d,Kh,Jd,Ks,4s,1
3h,5d,Ad,Ts,Jc,0
9d,Tc,8s,4c,Kh,4
As,7h,Jd,2c,9d,0
3h,3s,9h,6h,As,1
7s,4c,8s,6h,2h,0
5s,6c,6h,3c,4h,1
4d,As,8h,5h,5s,1
3s,Kd,Qh,4d,9h,0
Kd,2h,9d,6h,3s,0
2h,5c,Ts,2c,Qs,1
2h,3d,9c,9h,4d,1
2d,Kh,3h,Ah,Qd,0
3d,7c,Qc,4c,9d,0
8c,Ad,2c,7d,Jd,0
6d,3s,5s,5c,6s,2
6h,Ad,Th,Kc,3c,0
Ks,3h,3c,Qh,Qd,2
2s,7h,5d,5c,Ah,1
2s,6s,Qs,6c,5d,1
4c,6d,Kh,Qd,Ks,1
3h,5s,8s,Qh,Ks,0
6h,5c,3h,7c,5s,1
7s,3h,5s,4d,7d,1
9c,6s,Jh,8c,2d,0
6d,7d,8h,2s,7h,1
Ts,4s,7d,6d,Th,1
Kd,5s,Qd,Js,5d,1
2c,Ks,Kc,5c,Tc,1
Qc,5c,7c,9c,2s,0
7h,4h,2d,8c,3s,0
9s,8d,2d,9d,7h,1
8d,2d,Ac,5c,3s,0
8d,6d,Kd,8s,Kc,2
Ad,2s,7h,4s,3d,0
9d,4s,Tc,7c,2d,0
Qs,Kd,4c,Qd,3s,1
6d,Qc,Th,6c,9s,1
7c,7h,5h,2d,Ac,1
2d,Ks,5c,Th,7h,0
Qh,Kd,5s,3c,Qs,1
Ts,Ac,Js,4c,As,1
Js,2h,3h,5h,Ah,4
6s,3c,7s,3h,9d,1
Ah,Qs,9s,5s,Kc,0
8c,7c,5h,Tc,5d,1
7c,Kd,7d,9h,9c,2
2c,7c,5h,8d,6h,4
3s,Qh,3h,4h,Qc,2
7d,5s,Kh,2c,8c,0
6s,Tc,4s,Kc,8c,0
3s,2d,6h,2s,4d,1
Js,7d,8s,7c,8c,2
6s,Ts,6h,9h,8d,1
4h,6s,5c,Ad,2c,0
Kh,4d,6c,6s,6h,3
5c,2c,2d,2s,6s,3
Qh,5c,Qc,4h,2h,1
3h,As,2c,9c,3s,1
8s,Ad,Ts,4d,As,1
Th,5c,Ah,4s,Jc,0
5h,3d,Kd,3c,Ad,1
7d,Ah,Jd,Td,2d,0
3c,6s,2h,8h,8d,1
9c,Ad,2c,9s,7c,1
2s,Tc,9s,8h,Kh,0
Th,2h,Td,Qs,As,1
2h,Jd,Kh,Ac,Td,0
Td,3d,7s,Qc,4c,0
7d,2h,4h,6d,9s,0
4c,9d,6s,6d,4s,2
2s,3c,3s,8s,Td,1
Ts,5h,Tc,9s,Td,3
Jd,Js,9d,7c,6d,1
Kc,Qc,7s,Ts,6d,0
Jc,Ks,Th,Qs,7h,0
2s,Ac,Qh,3d,8d,0
Kd,8c,Th,7h,6h,0
5c,9s,6h,Qc,6s,1
5d,8c,7c,8h,8d,3
Ad,Qd,Qs,Qc,As,6
6d,2h,4h,9h,3c,0
3h,Kd,8d,Ac,8s,1
2h,9c,4s,Kd,9s,1
8c,9c,7s,4s,Td,0
7c,4d,8s,Ac,2d,0
7d,4s,6c,9c,8s,0
Ah,Ks,8h,2c,7h,0
Kd,6h,As,9d,4s,0
Kh,8d,9h,5h,As,4
Kc,8c,5h,Td,7s,0
2h,Ac,9c,Kc,Ad,1
9c,7d,Ts,6h,Ac,0
5c,4h,Kc,5s,9h,1
Qc,8c,4d,6c,6h,1
As,2d,7s,Jc,Td,0
7d,8h,Kh,6c,6h,1
4s,Qc,Ts,6h,5h,0
Ah,5c,3c,Td,7s,0
5d,7s,2h,7c,8s,1
7c,8h,6s,5c,9s,0
8s,Th,As,6s,4c,0
4s,Td,8h,Kd,Qh,0
Qd,9s,7c,6d,6h,1
Qs,3h,4c,Qc,Ac,1
7c,Jd,Qc,7d,3c,1
5h,Jd,7c,Qc,2c,0
9c,Qh,3s,Ah,8c,0
Kd,Jh,4d,8h,Qh,0
3s,Ad,8s,4h,8d,1
Jc,2c,Kh,Ac,9h,0
Td,Jh,Kc,4c,9d,0
3c,Qh,Ts,9s,2c,0
5s,3h,9c,8s,6d,0
7c,2d,2s,5h,Qc,1
Jc,8s,4s,Qs,3c,0
9s,4h,7s,3d,Ks,4
7h,3c,Tc,3h,Jd,1
6d,8s,7d,Qc,Js,0
6d,3c,Qs,9d,8h,0
Ks,Td,3s,8d,3c,1
7c,Qs,Qh,3h,Jd,1
5s,7s,9c,9s,Qd,1
6c,Ks,As,2h,Th,4
7c,Ad,Kc,6s,4h,0
2d,4c,Tc,Jd,Qd,0
5d,Qs,Kc,4s,5s,1
Jh,5h,Ah,2h,5d,1
Th,Jd,Js,5d,4d,1
Th,7h,Js,7s,8d,1
Qd,4c,Ah,As,6s,1
Th,5s,7d,6d,Kh,0
Qd,2h,3h,8d,9s,0
4s,5c,As,Kh,Jd,0
7d,Kh,9h,Tc,Kd,1
Qc,Ks,6h,Qh,Js,1
3d,8c,Tc,6h,4c,0
6h,Ah,6s,Ac,Tc,2
Kh,3s,3h,4h,6s,1
7h,Ah,9h,8d,Qh,0
Ad,7c,5d,5s,Jc,1
3d,As,2s,3h,Ah,2
Jd,Ad,Qd,As,9c,1
8h,8s,Jc,As,Kc,1
8d,5h,Qs,4c,2c,0
9d,Ac,4s,Kh,Ah,1
Qc,Jh,6s,6c,7d,1
7d,3h,4d,Ks,4h,1
7d,8d,2s,Qd,Js,4
As,Ad,2d,8c,4s,1
3d,Jd,5h,7s,2h,0
5c,Kd,3h,Qs,Qd,1
5d,Jd,Qc,8d,7c,0
3c,3s,3d,Td,8h,3
Qs,Ad,Td,Js,Kh,0
7d,Ks,5h,2d,2c,1
Jh,Ac,Td,Jd,5h,1
Ts,Jc,Jh,Tc,9s,2
Jd,3d,Kd,Ks,Th,1
8d,Ts,7d,2d,Ac,0
Qc,7s,Ks,9d,4h,0
Js,3c,8c,9c,Qh,0
Th,8s,9c,Qh,5c,0
9c,3s,Kd,Tc,As,0
Kd,Ad,Qc,Kc,8d,1
As,Th,5h,Jc,Qh,0
7d,Ac,Qh,Ts,Qd,1
5h,Jc,Qs,Qd,Kd,1
Jh,Qc,5c,7s,6s,0
2h,3s,8s,8d,Ac,1
Ad,3h,4s,6h,4d,1
Kh,5d,Qd,Tc,Ac,0
4s,Kd,7d,Kh,Qd,1
4h,Jh,Qh,Ks,6h,0
Th,5d,Kd,5h,Jh,1
5c,3d,Kd,7c,5h,1
Th,8d,9d,9s,5d,1
8s,Jh,9s,9c,Js,2
3s,2s,Ks,7s,6d,0
Ah,Ks,7c,2c,7s,1
Kd,5s,8s,Jc,7s,0
Kd,2s,4s,6d,5c,0
5d,Kc,Qd,3h,4s,0
8d,Jc,5s,7h,Kh,0
Ts,Jc,Th,6d,Tc,3
5s,Js,3s,Ad,8s,0
4s,2h,3s,Td,5s,0
Ad,3h,8d,3c,6c,1
5d,3s,4d,Tc,Kd,0
7c,5s,Qh,Jd,2c,0
5d,3d,7h,3c,2c,1
Kd,8c,3d,4c,Kh,1
Tc,8h,6s,8d,Th,2
2d,5s,Tc,Ah,Ks,0
Qs,6h,Ad,Th,Qh,1
Js,4c,6d,Kc,5d,0
6d,Qh,7s,Js,2c,0
Td,Ac,7s,9d,8s,0
Qs,9d,8s,2d,4d,0
3d,7d,Kc,8c,Jc,0
6c,Kc,Qs,Jc,Ac,0
Qs,Qh,Kh,6d,4h,1
Tc,6h,Js,Qd,5s,0
4d,5s,4c,Td,7h,1
2c,4d,5c,5h,6h,1
Ks,7s,3d,2d,9d,0
Ad,9s,Ah,Qc,Qs,2
Td,7s,Tc,Qh,4s,1
Js,3s,7d,Qc,Ah,0
3c,Kc,3s,5s,2d,1
Kc,Kh,9c,4d,Jc,1
Th,4c,Qh,Qc,9h,1
Qd,9s,Jd,8s,7d,0
5s,Ad,Qd,3c,Ts,0
4c,Ts,9h,9s,6d,1
3s,Ad,Kd,7d,Ac,1
Ks,7s,Kc,8c,8d,2
Qc,6h,7c,5h,Qs,1
7s,Td,8h,9s,Ts,1
4c,Ks,Kd,Ac,2h,1
7d,Kc,6d,8c,6s,1
3s,Jd,5h,Ah,5d,1
Ts,9h,Tc,Th,3h,3
4s,3h,As,7h,9d,0
2s,5d,7c,6h,2d,1
Kc,Ac,7c,Jd,6c,0
Qh,Kc,7s,4h,Jc,0
8s,Qh,6s,6c,2s,1
Ah,6d,Qh,8s,Qd,1
3d,Kc,5d,Qh,3c,1
5h,9c,2c,Qc,5s,1
Jh,Qh,9d,3c,9c,1
3d,6d,6s,6h,6c,7
5c,5h,Ah,Qs,3d,1
Kd,4c,8d,9d,2c,0
9c,Kc,5c,Qs,Qh,1
2c,6d,Kh,3h,5h,0
